title;author;journal;year;source;pages;volume;abstract;document_type;doi;url;affiliation;author_keywords;keywords;publisher;issn;language;note;selection_criteria;status
Non-functional Requirements Prioritization: A Systematic Literature Review;Ijaz, Khush Bakht and Inayat, Irum and Allah Bukhsh, Faiza;;2019;IEEE Digital Library;379-386;;None;;10.1109/SEAA.2019.00064;;;;;;;;;;Accepted
User Stories and Natural Language Processing: A Systematic Literature Review;Raharjana, Indra Kharisma and Siahaan, Daniel and Fatichah, Chastine;IEEE Access;2021;IEEE Digital Library;53811-53826;9;None;;10.1109/ACCESS.2021.3070606;;;;;;;;;;Accepted
Software Security in Agile Software Development: A Literature Review of Challenges and Solutions;Riisom, Klaus Reche and Hubel, Martin Slusarczyk and Alradhi, Hasan Mousa and Nielsen, Niels Bonde and Kuusinen, Kati and Jabangwe, Ronald;;2018;ACM Digital Library;;;There has been a surge in number of software security threats and vulnerabilities in recent times. At the same time, expectations towards software and data security are growing. Thus there is a need to ensure that security-related tasks are effectively integrated in the software development process. However, integrating security practices with agile software development is not trivial due to, for instance, differences in process dynamics and concentration on functional vs non-functional requirements. In this short paper we present a literature review on challenges and solutions when adopting security in agile software development contexts. Our findings show that there are ongoing efforts to integrate security-practices in agile methods, but more research is needed to make the processes more optimized and simpler for developers.;;10.1145/3234152.3234189;https://doi.org/10.1145/3234152.3234189;;;security engineering, software security, secure software development, literature review, agile software development;Association for Computing Machinery;;;;;Accepted
Defining Requirements Strategies inAgile: A Design Science Research Study;Muhammad, Amna Pir and Knauss, Eric and Batsaikhan, Odzaya and Haskouri, Nassiba El and Lin, Yi-Chun and Knauss, Alessia;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2022;El Compendex;73 - 89;13709 LNCS;"<div data-language=""eng"" data-ev-field=""abstract"">Research shows that many of the challenges currently encountered with agile development are related to requirements engineering. Based on design science research, this paper investigates critical challenges that arise in agile development from an undefined requirements strategy. We explore potential ways to address these challenges and synthesize the key building blocks of requirements strategies. Our design science research rests on a multiple case study with three industrial cases in the domains of communication technology, security services, and automotive. We relied on a total of 20 interviews, two workshops, participant observation in two cases, and document analysis in each of the cases to understand concrete challenges and workflows. In each case, we define a requirements strategy in collaboration with process managers and experienced engineers. From this experience, we extract guidelines for defining requirements strategies in agile development.<br/></div> &copy; 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.";;;http://dx.doi.org/10.1007/978-3-031-21388-5_6;;;"Design;Engineering research;Industrial research;Planning;Research and development management;";;03029743;English;"Agile development;Building blockes;Critical challenges;Design-science researches;Large-scale agile development;Large-scales;Multiple-case study;Requirement engineering;Requirement strategy;Research studies;";;Rejected
A multi-dimensional study of requirements changes in agile software development projects;Madampe, Kashumi and Hoda, Rashina and Grundy, John;arXiv;2020;El Compendex;;;"<div data-language=""eng"" data-ev-field=""abstract"">Agile processes are now widely practiced by software engineering (SE) teams, and the agile manifesto claims that agile methods support responding to changes well. However, no study appears to have researched whether this is accurate in reality. Requirements changes (RCs) are inevitable in any software development environment, and we wanted to acquire a holistic picture of how RCs occur and are handled in agile SE teams in practice. We also wanted to know whether responding to changes is the only or a main reason for software teams to use agile in their projects. To do this we conducted a mixed-methods research study which comprised of interviews of 10 agile practitioners from New Zealand and Australia, a literature review, and an in-depth survey with the participation of 40 agile practitioners world-wide. Through this study we identified different types of RCs, their origination including reasons for origination, forms, sources, carriers, and events at which they originate, challenging nature, and finally whether agile helps to respond to changes or not. We also found that agile teams seem to be reluctant to accept RCs, and therefore, they use several mitigation strategies. Additionally, as they accept the RCs, they use a variety of techniques to handle them. Furthermore, we found that agile allowing better response to RCs is only a minor reason for practicing agile. Several more important reasons included being able to deliver the product in a shorter period and increasing team productivity. Practitioners stated this improves the agile team environment and thus are the real motivators for teams to practice agile. Finally, we provide a set of practical recommendations that can be used to better handle RCs effectively in agile software development environments.<br/></div> &copy; 2020, CC BY-NC-ND.";;;;;;"Requirements engineering;";;23318422;English;"Agile methods;Agile process;Agile software development;Agile software development projects;Agile teams;Engineering teams;Multi dimensional;Requirement engineering;Requirements change;Software-development environments;";;Rejected
Requirements engineering in global scaled agile software development environment: A Multi-Vocal literature review protocol;Antil, Priyanka;arXiv;2020;El Compendex;;;"<div data-language=""eng"" data-ev-field=""abstract"">Context: Requirements engineering in global scaled agile software development and the planning phase for a multi-vocal literature review. Objective: Develop a protocol to specify the plan which will be followed to conduct a multivocal literature review study on requirements engineering in global scaled agile software development. Method: Kitchenham and Charters (2007), and Garousi et al. (2019) guidelines were followed to develop a protocol for multi-vocal literature review. Result: A validated protocol to conduct a multi-vocal literature review. Conclusion: The review protocol consist of five phases enumerated as follows: research questions, search strategies, validation of review process, reporting the review, and making changes to the protocol.<br/></div> Copyright &copy; 2020, The Authors. All rights reserved.";;;;;;"Software design;";;23318422;English;"Agile software development;Five-phase;Literature reviews;Planning phasis;Requirement engineering;Research questions;Review process;Search strategies;Software-development environments;";;Rejected
A Mapping Study on Requirements Engineering in Agile Software Development;Heikkila, Ville T. and Damian, Daniela and Lassenius, Casper and Paasivaara, Maria;Proceedings - 41st Euromicro Conference on Software Engineering and Advanced Applications, SEAA 2015;2015;Scopus;199 – 207;;Agile software development (ASD) methods have gained popularity in the industry and been the subject of an increasing amount of academic research. Although requirements engineering (RE) in ASD has been studied, the overall understanding of RE in ASD as a phenomenon is still weak. We conducted a mapping study of RE in ASD to review the scientific literature. 28 articles on the topic were identified and analyzed. The results indicate that the definition of agile RE is vague. The proposed benefits from agile RE included lower process overheads, a better requirements understanding, a reduced tendency to over allocate development resources, responsiveness to change, rapid delivery of value, and improved customer relationships. The problematic areas of agile RE were the use of customer representatives, the user story requirements format, the prioritization of requirements, growing technical debt, tacit requirements knowledge, and imprecise effort estimation. We also report proposed solutions to the identified problems. © 2015 IEEE.;Conference paper;10.1109/SEAA.2015.70;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958267829&doi=10.1109%2fSEAA.2015.70&partnerID=40&md5=f3fa93d87a3a1e6ca1d9cd6e9561fa8a;;"agile development; mapping study; requirements engineering; scrum";"Application programs; Mapping; Public relations; Requirements engineering; Software design; Agile development; Agile software development; Customer relationships; Customer representative; Development resources; Mapping studies; Scientific literature; scrum; Software engineering";;;English;Cited by: 79;;Accepted
A framework to study requirements-driven collaboration among agile teams: Findings from two case studies;Irum Inayat and Siti Salwah Salim;Computers in Human Behavior;2015;Science@Direct;1367-1379;51;Stakeholders’ collaboration is required to develop requirements in agile software development. Requirements engineering and agile methods share common grounds as they both focus on stakeholder collaboration. The key issue is finding a way to study collaboration driven by requirements in geographically distributed agile teams. In this paper, we aim to propose a framework to study collaboration driven by requirements among agile teams and determine the impact of their collaboration patterns on the iteration performance. We define collaboration in terms of communication as information exchange among members, and awareness knowledge of others. Two case studies were conducted to examine communication and awareness network patterns among distributed agile teams. Data were collected through questionnaires, semi-structured interviews and onsite observation. The findings revealed that the framework aids in determining the core members, collaboration trends, clustering tendency, communication and awareness reciprocity of the teams, small worldliness and centralisation behaviour of the networks and iteration performance of the agile teams. The framework has implications for the industrial practitioners, i.e. managers to learn about their team’s collaboration in order to take measures for performance improvement. At the same time, the researchers can use this framework to study other social aspects in variable settings to produce more empirical results.;;https://doi.org/10.1016/j.chb.2014.10.040;https://www.sciencedirect.com/science/article/pii/S0747563214005639;;;Agile methods, Collaboration, Distributed agile teams, Requirements-driven collaboration, Communication and awareness;;0747-5632;;Computing for Human Learning, Behaviour and Collaboration in the Social and Mobile Networks Era;;Rejected
Lean Startup and Sustainable Business Model Innovation: A Review of the Customer Development Process;Peralta, Alberto;;2022;Springer Link;81--110;;Since its release, the Lean Startup (LS) method has taken the business model innovation world like a storm. Subject to praise and rejection by many, this practice is now mainstream for incubators, accelerators, and innovation centers. Academics are devoting many research hours to work out LS implications. Yet we found that LS application in the field of sustainable business model innovation (SBMI) has been overlooked. Thus, this chapter concentrates on deepening on three specific LS features: a set of 17 claims called the Customer Development Manifesto (CDM), the core LS process called the Customer Development (CusDev), and the suitability of the CDM and CusDev for SBMI. A thorough review of the academic innovation literature and fields has helped us rigorously examine the CDM claims finding sound supportive foundations and limiting considerations---serving as future research avenues. Extending the implications of the CDM into the CusDev practice, we also found academic support to base its approach to modelling businesses and incorporating stakeholders to this modelling. Moreover, having defined the valueholder concept as a subset of relevant (salient and fringe) stakeholders, we have widened CusDev original design to properly shape sustainable business models integrating valueholders' interests with the activities and challenges imposed by SBMI and its triple (economic, social, and environmental) bottom line. The chapter closes with implications for researchers and practitioners and future research proposals.;;10.1007/978-3-031-08313-6_4;https://doi.org/10.1007/978-3-031-08313-6_4;;;;Springer International Publishing;;;;;Rejected
Review Questions;Weber, Peterand Gabriel, Rolandand Lux, Thomasand Menke, Katharina;;2022;Springer Link;309--355;;At the end of each chapter there are review questions and in-depth exercises, which are available together with the corresponding solutions in this chapter.;;10.1007/978-3-658-35859-4_12;https://doi.org/10.1007/978-3-658-35859-4_12;;;;Springer Fachmedien Wiesbaden;;;;;Rejected
Knowledge sharing via social media in software development: a systematic literature review;Sarka, Peter and Ipsen, Christine;Knowledge Management Research \& Practice;2017;Springer Link;594--609;15;None;;;;;;;Taylor \& Francis;;;;;Rejected
Cultural Issues in Distributed Software Development: A Review;Mishra, Alokand Mishra, Deepti;;2014;Springer Link;448--456;;Cultural impact is significant in global or distributed software development. Due to cultural differences, co-ordination and collaboration problems have been reported in case studies and this also leads to low quality deliverables and high turnover in software industry. This paper presents a literature review of distributed software development (DSD) or global software development (GSD) and cultural issues. The main focus is to highlight the current research, observations, as well as practice directions in these areas. Many studies have been performed in culture and global software development, still impact of culture in distributed software development in different dimensions received less attention among researchers.;;;;;;;Springer Berlin Heidelberg;;;;;Rejected
A Review of Security Requirements Engineering Methods with Respect to Risk Analysis and Model-Driven Engineering;Mu{\~{n}}ante, Denisseand Chiprianov, Vaneaand Gallon, Laurentand Aniort{\'e}, Philippe;;2014;Springer Link;79--93;;One of the most important aspects that help improve the quality and cost of secure information systems in their early stages of the development lifecycle is Security Requirements Engineering (SRE). However, obtaining such requirements is non-trivial. One domain dealing also with eliciting security requirements is Risk Analysis (RA). Therefore, we perform a review of SRE methods in order to analyse which ones are compatible with RA processes. Moreover, the transition from these early security requirements to security policies at later stages in the lifecycle is generally non-automatic, informal and incomplete. To deal with such issues, model-driven engineering (MDE) uses formal models and automatic model transformations. Therefore, we also review which SRE methods are compatible with MDE approaches. Consequently, our review is based on criteria derived partially from existing survey works, further enriched and specialized in order to evaluate the compatibility of SRE methods with the disciplines of RA and MDE. It summarizes the evidence regarding this issue so as to improve understanding and facilitate evaluating and selecting SRE methods.;;;;;;;Springer International Publishing;;;;;Rejected
Understanding How and When Human Factors Are Used in the Software Process: A Text-Mining Based Literature Review;Ruiz, Mercedesand Salanitri, Davide;;2019;Springer Link;694--708;;Human Factors (HF) is the study of the interaction between users and technology with the aim of improving the user's experience of a product and avoid unwanted issues in the usage of the system. HF is largely applied in several fields such as industrial processes, education, training, and design. In software development, HF plays a crucial role in the efficient and effective development of a software product and the success of the final product. This paper aims at indicating the state of the art of the literature on HF in software, in general and in the software development process in particular. To do so, a preliminary literature review using text mining has been performed. This work gathered papers using the terms ``human factors'' and ``software'' from four of the most used scientific digital databases (ACM DL, Scopus, Science Direct and IEEE Xplore). A total of 2192 papers were selected and automatically gathered into three clusters by using the X-means algorithm, which automatically recommended that number of clusters. The results show that there are three main areas where HF have been researched within software development: (1) the field of product evaluation (user experience) (2) the field of software development process, especially in the project management processes (3) the field of education. The results are an initial indication of the evolution of research in this area and where and how HF is applied in software engineering.;;;;;;;Springer International Publishing;;;;;Rejected
Training students in evidence-based software engineering and systematicreviews: a systematic review and empirical study;Sebasti{\'{a}}n Pizard andFernando Acerenza andXimena Otegui andSilvana Moreno andDiego Vallespir andBarbara A. Kitchenham;Empir. Softw. Eng.;2021;Springer Link;50;26;None;;10.1007/s10664-021-09953-9;https://doi.org/10.1007/s10664-021-09953-9;;;;;;;;;Rejected
Review of Current Software Estimation Techniques;Sharma, Bhawnaand Purohit, Rajendra;;2018;Springer Link;380--399;;Software Effort Estimation is an onerous but still inevitable task project managers have to perform. Project managers often face the dilemma of selection of estimation approach whenever any new project opportunity comes across. Estimation is required for not only setting a price and bidding rounds but also for planning, budgeting, staffing and scheduling of project related tasks. This paper reviews major cost estimation techniques that are relevant in current scenario. The primary conclusion is - all estimation approaches have few advantages and disadvantages and are often complimentary in their characteristics. Observation and Evaluation of several approaches can be insightful and can help in selecting an estimation technique or combination of techniques best suited for a particular project.;;;;;;;Springer Singapore;;;;;Rejected
Quality Requirements in Large-Scale Distributed Agile Projects -- A Systematic Literature Review;Alsaqaf, Wasimand Daneva, Mayaand Wieringa, Roel;;2017;Springer Link;219--234;;Context and Motivation: Agile development methods have become increasingly popular in the last years. However, these methods hardly pay attention to quality requirements (QRs), which could undermine the profits of fast delivery by introducing high rework efforts later on. This risk is high especially in agile large-scale distributed settings. Question/problem: Although several publications reported on the insufficient attention to quality requirements in agile methods, still little is known about agile requirements engineering practices and their impact on quality requirements in large-scale distributed settings. However, companies increasingly use agile methods in those settings, where the negative impact of ignoring quality requirements is large. Hence, the goal of this study is to identify the challenges in the engineering of quality requirements in large-scale distributed agile projects that have been researched so far, the agile practices that have contributed to the emergence of these challenges, and the proposed solutions. Principle ideas/results: Following an evidence-based research method, we examined 60 papers on quality requirements in agile. We found that, while there are multiple proposals to engineer quality requirements in agile, none of those has been tried out in real-life settings. Evaluating scalability of these proposals, therefore, is a priority for future research. Contribution: This paper identified 12 challenges in agile projects that harm the quality requirements. Besides, we identified and evaluated 13 proposals for dealing with quality requirements in agile projects, along with implications for practice and research.;;;;;;;Springer International Publishing;;;;;Accepted
Software Process Improvement in Small and Medium Enterprises: A Systematic Literature Review;da Silva, Gledston Carneiroand Carneiro, Glauco de Figueiredo;;2016;Springer Link;603--613;;The knowledge of characteristics and profile of a company is the key to plan its software process improvement. It helps focusing efforts to promote alignment with organizational culture and to support the consolidation of best practices already implemented. This paper presents a systematic literature review to identify evidences in the literature related to the challenges and opportunities of the adoption of software process improvement in small and medium enterprises. The results from the study indicate that there are relevant issues that can be considered in the effective adoption of software engineering best practices in small and medium enterprises.;;;;;;;Springer International Publishing;;;;;Accepted
Organizational Maturity Models Architectures: A Systematic Literature Review;Saavedra, Vivianaand D{\'a}vila, Abrahamand Melendez, Karinand Pessoa, Marcelo;;2017;Springer Link;33--46;;Maturity models (MMs) are tools to assess how reliable is an organization and to identify its strengths and weaknesses. The increasing number of MMs developed for several domains or specific contexts based on different architectural styles (AS's), makes more difficult its understanding and reuse. This paper aims to identify and compare the AS's of organizational MMs for different domains. A Systematic Literature Review (SLR) was conducted. The SLR included 70 studies that describe the architecture of MMs for different contexts. A classification scheme was defined and tested with a group of MMs. Another group of MMs adopted the AS of existing models. As a result, the MMs found were classified into nine AS's. The AS's derived from SW-CMM and CMMI-staged are quite similar. The ISO-SPICE-based and the OPM3-based architectures are the most different. The AS's most used in studies were the CMMI-based and the progression-staged model.;;;;;;;Springer International Publishing;;;;;Rejected
Information Requirements for Big Data Projects: A Review of State-of-the-Art Approaches;Kozmina, Natalijaand Niedrite, Lailaand Zemnickis, Janis;;2018;Springer Link;73--89;;Big data technologies are rapidly gaining popularity and become widely used, thus, making the choice of developing methodologies including the approaches for requirements analysis more acute. There is a position that in the context of the Data Warehousing (DW), similar to other Decision Support Systems (DSS) technologies, defining information requirements (IR) can increase the chances of the project to be successful with its goals achieved. This way, it is important to examine this subject in the context of Big data due to the lack of research in the field of Big data requirements analysis. This paper gives an overview of the existing methods associated with Big data technologies and requirements analysis, and provides an evaluation by three types of criteria: (i) general characteristics, (ii) requirements analysis related, and (iii) Big data technologies related criteria. We summarize on the requirements analysis process in Big data projects, and explore solutions on how to (semi-) automate requirements engineering phases.;;;;;;;Springer International Publishing;;;;;Rejected
Essential Approaches to Dual-Track Agile: Results from a Grey Literature Review;"Trieflinger, Stefanand M{\""u}nch, J{\""u}rgenand Heisler, Berndand Lang, Dominic";;2021;Springer Link;55--69;;Context: Nowadays, companies are challenged by increasing market dynamics, rapid changes and disruptive participants entering the market. To survive in such an environment, companies must be able to quickly discover product ideas that meet the needs of both customers and the company and deliver these products to customers. Dual-track agile is a new type of agile development that combines product discovery and delivery activities in parallel, iterative, and cyclical ways. At present, many companies have difficulties in finding and establishing suitable approaches for implementing dual-track agile in their business context. Objective: In order to gain a better understanding of how product discovery and product delivery can interact with each other and how this interaction can be implemented in practice, this paper aims to identify suitable approaches to dual-track agile. Method: We conducted a grey literature review (GLR) according to the guidelines to Garousi et al. Results: Several approaches that support the integration of product discovery with product delivery were identified. This paper presents a selection of these approaches, i.e., the Discovery-Delivery Cycle model, Now-Next-Later Product Roadmaps, Lean Sprints, Product Kata, and Dual-Track Scrum. The approaches differ in their granularity but are similar in their underlying rationales. All approaches aim to ensure that only validated ideas turn into products and thus promise to lead to products that are better received by their users.;;;;;;;Springer International Publishing;;;;;Rejected
Customer Involvement in Continuous Deployment: A Systematic Literature Review;"Yaman, Sezin Gizemand Sauvola, Tanjaand Riungu-Kalliosaari, Leahand Hokkanen, Lauraand Kuvaja, Pasiand Oivo, Markkuand M{\""a}nnist{\""o}, Tomi";;2016;Springer Link;249--265;;[Context and motivation] In order to build successful software products and services, customer involvement and an understanding of customers' requirements and behaviours during the development process are essential. [Question/Problem] Although continuous deployment is gaining attention in the software industry as an approach for continuously learning from customers, there is no common overview of the topic yet. [Principal ideas/results] To provide a common overview, we conduct a secondary study that explores the state of reported evidence on customer input during continuous deployment in software engineering, including the potential benefits, challenges, methods and tools of the field. [Contribution] We report on a systematic literature review covering 25 primary studies. Our analysis of these studies reveals that although customer involvement in continuous deployment is highly relevant in the software industry today, it has been relatively unexplored in academic research. The field is seen as beneficial, but there are a number of challenges related to it, such as misperceptions among customers. In addition to providing a comprehensive overview of the research field, we clarify the gaps in knowledge that need to be studied further.;;;;;;;Springer International Publishing;;;;;Accepted
Adopting Agile Software Development Combined with User-Centered Design and Lean Startup: A Systematic Literature Review on Maturity Models;Zorzetti, Maximilianand Moralles, Cassianoand Salerno, Larissaand Pereira, Elianaand Marczak, Sabrinaand Bastos, Ricardo;;2021;Springer Link;517--541;;The use of Agile in the software development industry in the past two decades revealed that it is lackluster in some aspects, such as in guaranteeing user involvement and assuring that the right software is being built. There are reports that combining Agile with Lean Startup and User-Centered Design (UCD) helps in overcoming these shortcomings while also yielding several other benefits. However, there is not much documentation on how to use this ``combined approach'' and adapting existing organizations to use it is a challenge in of itself, in which the use of an instrument to guide or assess such transformations is typically pivotal to their success. As such, in this paper we seek to identify maturity models that assess the use of Agile, Lean Startup, and UCD. We conducted a systematic literature review of maturity models for these three methods published between 2001 and 2020. We characterized the maturity models and determined how they see maturity, how they are applied, and how they were evaluated. As an extended version of a previous paper, we augmented our analysis criteria and further classified the models in how they interpret maturity and what strategy they suggest when undergoing an improvement process, in addition to providing new insight on various aspects of the models. We found 35 maturity models, of which 23 were for Agile, 5 for Lean thinking, 5 for UCD, and 2 for Agile and UCD combined. No models for the combination of the three methods were found (nor for Lean Startup), as expected due to the novelty of the approach. Existing models mostly focus on practice adoption and acquiring continuous improvement capabilities, and are typically developed with a specific context in mind. We also note a lack of proper evaluation procedures being conducted on the majority of models, which could be due to the lack of well-established maturity model development methods and guidelines.;;;;;;;Springer International Publishing;;;;;Accepted
