Terms;Representational State Transfer;Architecture modeling;Natural Language Processing;Independent Component Regression;General Regression Neural Network;Fuzzy Neural Network;Feed forward;Deep belief network;Elman;Neural Network;Weighted dependency graph;Monte Carlo;Text Classification;Machine Learning;Stochastic Gradient Bossting;Random Forest;Naive bayes;Logistic Model Tree;Multilayer Perceptrons ;Bag-of-words;Search and optimization;Statistical Combination;Fuzzy logic;WuP similarity;Vector space model;Term frequency-inverse document frequency;Syntactic parse tree;Skip-gram;Similarity matrix;Semantic role labeling;Preprocessing;POS tag;Open information extraction;Named-entity recognizer;Logistic regression;Lemmatization;Latent Dirichlet Allocation;Dependency;Clustering;Regression;Document fingerprints;Constructive heuristic;Harmony search;Plausible Justification tree;Regression analysis;Support Vector Machine;Ant colony;K-means algorithm;Bayesian network;Bayesian Network;Reasoning under uncertainty;Feed-forward;regression analysis;Ensemble-based method;Artificial bee colony;Statistical model;Knapsack problem-related heuristic;Bin-packing-related heuristic;Decision Trees;Binary integer programming;Greedy algorithm;Genetic algorithm;Integer linear programming;Linear programming;Aspect-oriented;Change identification;Change cost estimation;Change effort estimation;Change Vector;Change analysis;Code refactoring;data-driven;Q-rapids;Design Thinking;Central Design Report (CDR);Contextual Design;Participatory Design;User Centered Design;Goal Model;Goal-oriented;Just in time;Mind-mapping;Mind Map;Prototyping;Modeling Non-Funcional requirements;Requirements modelling;Ontology Model;Non-Funcional requirements model;A hierarchical model;Tree model;Flowchart Model;Model-based;Persona;regression techniques;Planning poker;Test case prioritization;Automatic Runtime Reappraisal of Weights;Cumulative Voting;Requirements prioritization;Index cards;Regression testing;Numerical Assignment;Scenarios;Abuser story;Agile security framework;Vulnerability analyses;Security backlog;Semantic network;Ethnography;Expert judgment;Focal group;Retrospectives;Wiki;Quantitative Customer-driven;Pairing analysis;Meeting;Joint Application Development;Interview;Product grooming;WORKSHOP;Questionnaire;Use case;Decision Knowledge;Shared conceptualisation;Social analysis;Pairing for requirements analysis;Analytic Hierarchy Process;Brainstorming;Heuristic Evaluation;Delivery stories;User stories;Story boarding;Story Card;Story points;Model-based Testing;Version Control Testing Frame;Test-driven;Testing before coding;Adaptative Testing;storytests;Goal Question Metric;Version Continuous Testing Frame;Random Testing;Unified Modeling Language;UML
01/01/2012;25;31;32;45;;23;46;44;10;22;;27;22;12;;12;43;10;15;44;57;9;20;;33;;0;0;40;33;22;42;54;;23;8;84;54;29;32;;;70;;46;30;34;33;26;26;32;19;46;;93;22;;;16;44;44;20;38;44;7;11;0;;53;48;38;41;;21;;6;17;34;24;32;38;34;93;52;;13;16;;34;38;23;31;60;37;67;49;;0;40;51;41;17;52;0;0;;0;46;33;80;0;47;69;;48;53;16;78;0;13;34;38;43;;45;;63;53;15;0;61;59;29;23;41;;18;0;;;11;;54;18;16
01/01/2013;10;24;33;37;;19;44;49;15;22;;22;22;13;;16;42;10;16;65;48;14;17;;28;;0;5;38;33;22;42;40;;30;13;70;63;28;38;;;60;;46;30;30;31;24;24;20;14;46;;99;22;;;18;62;46;20;41;45;5;18;0;;72;58;39;39;;21;;7;8;56;24;43;33;0;74;52;;12;23;;37;33;23;35;69;47;42;57;;49;49;71;41;32;56;0;20;;0;37;27;65;0;29;53;;0;49;5;81;0;11;33;41;33;;46;;32;67;20;26;62;72;31;32;12;;20;24;;;19;;69;20;14
01/01/2014;16;28;35;51;;19;40;77;11;24;;25;22;18;;21;52;12;17;80;43;6;17;;37;;0;24;60;22;29;45;51;;33;8;78;68;28;43;;;100;;43;29;29;28;25;25;32;15;43;;100;23;;;17;48;51;19;40;47;3;25;0;;68;64;41;40;;25;;4;9;51;26;24;30;50;85;54;;7;21;;26;35;11;29;73;45;83;65;;0;60;82;45;38;55;100;18;;18;38;29;60;0;35;43;;36;47;12;91;0;11;30;42;36;;58;;55;64;16;48;67;33;31;43;28;;18;45;;;9;;61;16;12
01/01/2015;23;21;37;30;;17;48;76;11;31;;25;27;27;;31;63;9;8;47;37;13;15;;40;;0;29;47;28;30;59;45;;45;14;89;74;27;51;;;78;;53;31;28;29;25;25;11;16;53;;97;19;;;19;47;56;20;37;45;3;44;0;;91;49;38;35;;27;;6;13;38;22;21;27;22;85;56;;9;33;;24;34;32;26;77;43;85;72;;0;67;39;50;19;52;0;16;;65;46;26;53;0;55;39;;32;47;8;100;0;10;31;43;35;;61;;38;55;28;64;83;49;29;52;14;;20;60;;;0;;59;15;11
01/01/2016;23;11;41;30;;16;48;95;15;40;;25;38;40;;41;78;13;13;64;36;11;14;;32;;0;46;65;36;35;61;45;;56;20;85;77;28;58;;;55;;47;30;22;27;24;24;14;15;47;;77;23;;;22;42;51;17;33;45;2;17;0;;79;80;35;43;;37;;7;10;41;25;35;24;22;73;49;;17;18;;23;34;24;25;66;47;68;100;;79;66;48;41;34;47;0;32;;16;60;19;0;0;15;29;;63;46;16;77;0;10;29;36;28;;65;;26;59;25;21;76;29;26;54;12;;16;20;;;7;;70;8;9
01/01/2017;14;15;55;71;;16;63;100;17;59;;26;68;75;;73;98;40;12;100;32;4;13;;29;;11;79;74;39;50;100;88;;79;35;100;93;31;86;;;58;;59;37;20;29;29;29;15;19;59;;74;23;;;45;38;58;18;38;43;2;21;100;;100;69;43;50;;51;;4;14;43;20;39;25;21;94;52;;13;16;;25;43;27;26;84;69;70;58;;0;100;73;46;21;55;0;15;;30;71;26;0;0;88;26;;0;55;6;86;29;9;30;40;30;;74;;11;59;20;40;95;28;34;81;15;;17;0;;;4;;74;8;8
01/01/2018;16;13;65;39;;16;69;85;12;60;;26;88;88;;86;98;31;12;96;30;11;12;;25;;3;68;73;37;67;99;49;;88;57;97;98;30;93;;;54;;58;34;18;32;28;28;26;16;58;;64;24;;;44;43;54;15;35;41;1;13;0;;98;75;43;52;;66;;16;2;23;28;48;25;19;93;45;;5;14;;24;39;34;27;76;65;75;53;;0;46;100;49;13;49;0;0;;28;79;27;45;0;67;21;;55;54;5;88;26;9;27;38;31;;78;;42;69;14;37;98;34;17;85;20;;16;51;;;7;;76;7;7
01/01/2019;14;9;66;25;;14;79;64;10;60;;23;100;100;;100;100;52;12;73;31;2;11;;23;;6;100;68;39;77;81;57;;98;68;88;100;31;100;;;36;;61;34;17;31;27;27;22;18;61;;59;21;;;34;35;63;14;28;38;1;18;0;;74;59;46;65;;75;;6;3;37;27;75;25;18;70;41;;6;26;;28;48;25;29;80;76;85;54;;0;22;36;55;22;49;0;39;;0;76;25;44;0;52;18;;26;73;5;85;100;10;26;37;29;;73;;22;68;21;53;96;32;31;96;10;;12;49;;;3;;84;6;6
01/01/2020;9;12;62;54;;13;76;59;9;62;;21;87;95;;90;87;65;11;46;26;1;9;;18;;16;48;55;27;80;80;60;;97;86;82;85;26;94;;;36;;67;29;14;37;24;24;17;19;67;;41;20;;;24;37;56;11;28;36;1;12;0;;71;54;45;65;;83;;0;6;27;37;100;24;0;87;34;;7;10;;25;49;30;27;100;84;100;41;;0;38;45;46;24;49;0;57;;12;62;27;38;0;45;14;;0;100;13;58;22;7;29;34;35;;89;;30;60;20;46;100;21;29;93;8;;11;43;;;5;;63;5;5
01/01/2021;5;12;46;12;;11;72;50;8;42;;19;71;86;;76;77;51;12;37;26;1;8;;14;;18;39;53;22;79;56;33;;80;70;48;76;23;82;;;20;;58;26;14;36;21;21;13;21;58;;39;17;;;20;28;60;9;26;34;1;15;0;;68;66;32;62;;96;;6;8;18;33;54;22;0;74;27;;10;18;;22;47;25;25;88;97;72;25;;0;21;45;55;18;44;0;25;;100;58;16;82;3;24;11;;0;76;0;73;24;6;25;30;41;;100;;29;57;17;17;81;8;20;79;10;;9;47;;;6;;55;3;4
